Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Aggarwal's Sweets Paradise,2,2.8,24,12.0
Aggarwal Sweets Centre,2,1.45,5,2.5
Truffles,2,3.95,9682,4841.0
Gulab,2,2.95,51,25.5
Grover Sweets,2,1.55,10,5.0
Grillz,2,2.35,104,52.0
Green Valley Chinese Food,2,0.0,0,0.0
Green Restaurant,2,1.8,47,23.5
Green Leaf,2,3.25,220,110.0
Green Chilli,2,1.4,19,9.5
Granite City Food & Brewery,2,4.05,628,314.0
Golden Bakery,2,0.0,2,1.0
Go Kylin,2,3.15,90,45.0
Ghar Ka Khana,2,0.0,1,0.5
Garota de Ipanema,2,4.6,59,29.5
Garden Hut,2,2.9,21,10.5
Garam Masala,2,0.0,0,0.0
Garam Dharam,2,3.55,1805,902.5
Frozen Factory,2,3.8,151,75.5
Habibi,2,3.4,330,165.0
Gymkhana,2,4.7,328,164.0
Fresh n Refresh,2,3.1,46,23.0
Fresh Meat CO,2,1.45,4,2.0
Food Factory,2,1.5,15,7.5
Food Express,2,1.8,128,64.0
Fluffles - The Fluffy Waffle Co.,2,3.0,34,17.0
Flavours Kitchen,2,0.0,3,1.5
Flavours,2,3.1,85,42.5
Flavors Of London,2,1.5,8,4.0
Fit Bites,2,3.75,180,90.0
Fish Streat,2,3.7,483,241.5
Gupta Ji Ka Dhaba,2,1.3,49,24.5
Gupta Chat Corner,2,3.5,143,71.5
Gung The Palace,2,3.95,630,315.0
Gullu's,2,3.0,114,57.0
Hurry's Paratha,2,3.5,92,46.0
Hungry Minister,2,3.5,176,88.0
Hungry - I,2,3.15,457,228.5
Hunger's Hub,2,1.55,16,8.0
Hunger Strike,2,3.5,162,81.0
Hotel Malabar,2,3.3,153,76.5
Hot Stuff,2,3.4,119,59.5
Hot Joint Fast Food,2,1.3,61,30.5
Hot Cherries,2,3.6,200,100.0
Hot & Spicy,2,1.45,4,2.0
Hornbill,2,3.55,156,78.0
High On Burgers,2,3.35,152,76.0
Hawkers,2,3.05,424,212.0
Harry's Bar + Cafe,2,3.65,787,393.5
Halki Aanch,2,3.0,103,51.5
Haldiram Bhujiawala,2,3.45,62,31.0
Effingut Brewerkz,2,4.3,1906,953.0
EDC Mania,2,1.65,41,20.5
D�_vero��lu,2,4.3,283,141.5
Juice Lounge,2,1.7,26,13.0
Joey's Pizza,2,4.25,7807,3903.5
Jain Restaurant,2,1.5,7,3.5
Jahangeer Foods,2,3.25,188,94.0
Jack Po!tato's,2,3.4,52,26.0
JSB Evergreen Snack & Sweets,2,3.15,88,44.0
Italiano,2,3.3,674,337.0
Invitation,2,1.8,460,230.0
Imperfecto,2,3.55,2546,1273.0
Imly,2,3.9,1689,844.5
Ichiban,2,4.1,1533,766.5
Hyderabad House,2,3.1,74,37.0
Hwealthcafe,2,3.8,252,126.0
Kamboj's,2,2.6,315,157.5
Kamal's,2,3.25,389,194.5
Kake Di Hatti,2,3.55,678,339.0
