Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Bharat Sweets,3,3.33,65,21.67
Papa Veg Chinese Food,2,3.35,62,31.0
Vadapav Junction,2,3.45,62,31.0
Shree Durga Dosa,2,3.05,62,31.0
Haldiram Bhujiawala,2,3.45,62,31.0
Aggarwal Sweets India,3,1.73,61,20.33
Hot Joint Fast Food,2,1.3,61,30.5
Senorita's,2,1.85,60,30.0
South Indian Cafe,2,3.0,60,30.0
Hangchuaa's Chinese Food Corner,3,2.97,60,20.0
The Blue Tandoor,2,2.75,59,29.5
Bake Club,2,3.15,59,29.5
Garota de Ipanema,2,4.6,59,29.5
Tea Trails,2,1.85,58,29.0
Havmor Ice Cream,3,3.37,57,19.0
Mithaas Sweets,2,2.9,56,28.0
Roti Aur Boti,2,3.35,56,28.0
Weird Time Food,2,3.35,56,28.0
Kolkata Hot Kathi Roll,2,2.95,56,28.0
Miam,2,3.55,55,27.5
Midnight Hunger,2,3.45,55,27.5
Kitchen King,2,1.3,55,27.5
Ammu's South Indian Restaurant,2,2.95,55,27.5
Sonya Bakery Cafe,2,3.4,54,27.0
Kati Roll Cottage,2,3.6,53,26.5
Nawabi Mughlai Zaika,2,3.25,53,26.5
Punjabee's Darbar,2,3.15,53,26.5
Zooby's Kitchen,2,3.15,52,26.0
Jack Po!tato's,2,3.4,52,26.0
The Night Owl,2,1.4,52,26.0
Gulab,2,2.95,51,25.5
Urban Dhaba,2,2.85,51,25.5
Clever Fox Cafe,2,3.1,51,25.5
Mirchievous,2,3.5,50,25.0
Pandey Chinese Hut,2,2.7,50,25.0
Gupta Ji Ka Dhaba,2,1.3,49,24.5
Cake Point,5,1.74,49,9.8
Ramesh Vaishno Dhaba,2,3.1,48,24.0
Coco Bambu,2,4.55,47,23.5
Green Restaurant,2,1.8,47,23.5
New Madras Cafe,3,1.97,47,15.67
Wah G Wah,3,1.77,46,15.33
Fresh n Refresh,2,3.1,46,23.0
Bhappe Di Hatti,2,3.3,45,22.5
New Zaika,2,2.75,45,22.5
Super Snacks,2,1.55,44,22.0
The Cake Shop,2,1.65,44,22.0
South Indian Hut,4,1.58,43,10.75
Tpot,7,0.97,43,6.14
Metro Fast Food,2,2.65,43,21.5
EDC Mania,2,1.65,41,20.5
Aggarwal Sweet Corner,5,1.26,41,8.2
Shamji Sweets,2,3.05,41,20.5
Health Buzzz,3,3.13,40,13.33
Aggarwal Sweets,14,0.79,39,2.79
Momos House,2,3.1,37,18.5
Breaktym,3,2.77,37,12.33
Snack Junction,2,3.1,37,18.5
Chao Cart,2,3.2,36,18.0
Liquid,2,3.6,35,17.5
Pizza Diet,2,2.75,35,17.5
Aggarwal Sweet India,5,1.7,35,7.0
China Hut,2,2.7,34,17.0
Chaap Point,2,3.2,34,17.0
Fluffles - The Fluffy Waffle Co.,2,3.0,34,17.0
Mahi Rasoi,2,1.3,34,17.0
Faaso's,2,1.8,34,17.0
Aapki Rasoi,4,1.52,34,8.5
Spanish Delights,2,3.3,33,16.5
Konetto Pizza,2,1.75,32,16.0
The Belgian Fries Company,2,1.85,32,16.0
Standard Sweets,2,1.8,32,16.0
Khalsa Veg Corner,2,3.25,32,16.0
Pizza Yum,2,2.9,32,16.0
Ram Chinese Food,2,3.0,32,16.0
34 Parkstreet Lane,2,3.05,31,15.5
Dilli Rasoi,2,1.6,31,15.5
The Chef,2,2.95,31,15.5
China Hot Pot,2,2.75,31,15.5
Evergreen Sweets,2,2.7,30,15.0
Anupam Sweets,2,2.55,29,14.5
Sagar Dhaba,2,1.55,29,14.5
The Mirch Masala,2,3.1,29,14.5
Chawlas 2,2,1.5,28,14.0
Amritsari Dhaba,2,3.05,28,14.0
Pizza Station,3,2.17,28,9.33
Mom's Kitchen,2,1.75,28,14.0
Rajshree,2,3.2,27,13.5
Cake 24x7,2,1.65,27,13.5
The China Town,2,1.7,27,13.5
Organic Express,2,3.2,27,13.5
Vaishno Rasoi,2,1.3,26,13.0
WTF - World's Tastiest Food,2,2.4,26,13.0
Bikaner Kesarvala,2,1.6,26,13.0
Juice Lounge,2,1.7,26,13.0
Papa Buns,2,1.8,26,13.0
Punjabi's Veg Grill,4,2.3,25,6.25
Niti Shake & Ice Cream Hub,3,1.27,25,8.33
Crust N Cakes,2,3.3,24,12.0
Sadda Adda,2,1.75,24,12.0
Food Plaza,3,1.07,24,8.0
Aggarwal's Sweets Paradise,2,2.8,24,12.0
Khan Chicken Biryani,2,2.9,23,11.5
Mr. Baker's,2,1.5,23,11.5
Da Pizza Corner,5,2.26,23,4.6
