Cuisines,Restaurant_Count,Average_Rating
"Italian, Pizza, Sandwich",5,4.220000000000001
"Chinese, Seafood, North Indian, Biryani",1,4.2
"Burger, Desserts, Vegetarian",1,4.2
"Middle Eastern, Arabian",1,4.2
"Italian, Mexican, American, Mediterranean",1,4.2
"Cafe, Asian, Italian, North Indian",1,4.2
"Japanese, Seafood, Sushi",1,4.2
Malaysian,2,4.2
"Breakfast, Vegetarian",1,4.2
"American, Breakfast, Hawaiian",1,4.2
"Kiwi, European",1,4.2
"Italian, Mexican, Mediterranean",1,4.2
"Mexican, American",1,4.2
"Mediterranean, Turkish",1,4.2
"Mediterranean, Continental",1,4.2
"Italian, Continental, North Indian, Cafe",1,4.2
"Mediterranean, Cafe, European",1,4.2
"Kashmiri, Mughlai",1,4.2
"Brazilian, Seafood",1,4.2
"Mexican, Southwestern, Sushi",1,4.2
"Mexican, Southwestern, Tex-Mex",1,4.2
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",1,4.2
"Continental, North Indian, Chinese, Italian",1,4.2
"Continental, North Indian, European, Finger Food",1,4.2
"Continental, North Indian, Italian, Chinese",1,4.2
"American, Cafe",1,4.2
"World Cuisine, Patisserie, Cafe",1,4.2
"South Indian, Andhra",1,4.2
"American, Italian, North Indian, European, Thai",1,4.2
"Seafood, Chinese",1,4.2
"Steak, Scottish, British",1,4.2
"Cafe, Italian, Japanese, Continental",1,4.2
"Cafe, Mexican, Italian, North Indian, Fast Food",1,4.2
"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International",1,4.2
"Bakery, Arabian, Middle Eastern",1,4.2
"Continental, Juices, Cafe, Desserts, Salad, Italian",1,4.2
"Bakery, Desserts, Fast Food, Beverages",1,4.2
"Italian, Cafe",1,4.2
"Asian, Breakfast, Hawaiian",1,4.2
"Asian Fusion, Cafe",1,4.2
"Cafe, Coffee and Tea, Western",1,4.2
"North Indian, Kerala, Chinese, Continental",1,4.2
"Asian, Chinese, Japanese",1,4.2
"Hyderabadi, Biryani, North Indian",1,4.2
"Continental, Chinese, Italian, Bakery",1,4.2
"Continental, Asian, Sushi",1,4.2
"Cafe, Continental, North Indian, Chinese",1,4.2
"Asian, European, Seafood",1,4.2
"North Indian, North Eastern, Continental",1,4.2
"North Indian, Middle Eastern, Pizza",1,4.2
"Continental, Seafood, Goan, Andhra, Kerala, Thai",1,4.2
"North Indian, Asian",2,4.2
"European, Cafe",2,4.2
